Discovered 1223 test files (0 tests) under ['tests']; running with -j 64
[  0.0% |     0/0 | ✓18338 | ✗   25] ✓ tests/test_packaging_metadata.py (2✓, 1.7s)
[  0.0% |     0/0 | ✓18346 | ✗   25] ✓ tests/test_env_loader_secret_sources.py (8✓, 4.8s)
[  0.0% |     0/0 | ✓18350 | ✗   25] ✓ tests/run_agent/test_strict_api_validation.py (4✓, 12.6s)
[  0.0% |     0/0 | ✓18362 | ✗   25] ✓ tests/test_evidence_store.py (12✓, 5.0s)
[  0.0% |     0/0 | ✓18365 | ✗   25] ✓ tests/run_agent/test_stream_interrupt_retry.py (3✓, 13.9s)
[  0.0% |     0/0 | ✓18372 | ✗   25] ✓ tests/test_ipv4_preference.py (7✓, 3.6s)
[  0.0% |     0/0 | ✓18372 | ✗   25] ✓ tests/test_sync_fixture_ac3.py (1.5s)
[  0.0% |     0/0 | ✓18372 | ✗   25] ✓ tests/test_sync_fixture.py (2.0s)
[  0.0% |     0/0 | ✓18372 | ✗   25] ✓ tests/test_sync_fixture_ac4.py (1.7s)
[  0.0% |     0/0 | ✓18387 | ✗   25] ✓ tests/run_agent/test_vision_aware_preprocessing.py (15✓, 10.7s)
[  0.0% |     0/0 | ✓18412 | ✗   25] ✓ tests/test_base_url_hostname.py (25✓, 6.2s)
[  0.0% |     0/0 | ✓18441 | ✗   25] ✓ tests/run_agent/test_unicode_ascii_codec.py (29✓, 11.5s)
[  0.0% |     0/0 | ✓18443 | ✗   25] ✓ tests/test_termux_all_extra_compat.py (2✓, 2.3s)
[  0.0% |     0/0 | ✓18452 | ✗   25] ✓ tests/run_agent/test_tool_call_guardrail_runtime.py (9✓, 12.1s)
[  0.0% |     0/0 | ✓18456 | ✗   25] ✓ tests/test_sql_injection.py (4✓, 3.0s)
[  0.0% |     0/0 | ✓18468 | ✗   25] ✓ tests/test_empty_model_fallback.py (12✓, 6.6s)
[  0.0% |     0/0 | ✓18490 | ✗   25] ✓ tests/run_agent/test_provider_fallback.py (22✓, 18.5s)
[  0.0% |     0/0 | ✓18495 | ✗   25] ✓ tests/test_process_loop_event_loop_warning.py (5✓, 3.5s)
[  0.0% |     0/0 | ✓18502 | ✗   25] ✓ tests/test_minimax_model_validation.py (7✓, 4.8s)
[  0.0% |     0/0 | ✓18544 | ✗   25] ✓ tests/run_agent/test_codex_xai_oauth_recovery.py (42✓, 27.5s)
[  0.0% |     0/0 | ✓18546 | ✗   25] ✓ tests/test_mini_swe_runner.py (2✓, 5.0s)
[  0.0% |     0/0 | ✓18555 | ✗   25] ✓ tests/test_retry_utils.py (9✓, 4.7s)
[  0.0% |     0/0 | ✓18555 | ✗   25] ✓ tests/tools/test_approval_heartbeat.py (2.9s)
[  0.0% |     0/0 | ✓18566 | ✗   25] ✓ tests/test_model_picker_scroll.py (11✓, 5.6s)
[  0.0% |     0/0 | ✓18569 | ✗   25] ✓ tests/tools/test_approval_plugin_hooks.py (3✓, 2.9s)
[  0.0% |     0/0 | ✓18573 | ✗   25] ✓ tests/test_utils_truthy_values.py (4✓, 3.6s)
[  0.0% |     0/0 | ✓18611 | ✗   25] ✓ tests/skills/test_memento_cards.py (38✓, 11.4s)
[  0.0% |     0/0 | ✓18651 | ✗   25] ✓ tests/test_argo_constants.py (40✓, 9.7s)
[  0.0% |     0/0 | ✓18657 | ✗   25] ✓ tests/test_project_metadata.py (6✓, 5.4s)
[  0.0% |     0/0 | ✓18673 | ✗   25] ✓ tests/test_subprocess_home_isolation.py (16✓, 5.5s)
[  0.0% |     0/0 | ✓18688 | ✗   25] ✓ tests/test_toolset_distributions.py (15✓, 4.9s)
[  0.0% |     0/0 | ✓18689 | ✗   25] ✓ tests/test_run_tests_parallel.py (1✓, 5.6s)
[  0.0% |     0/0 | ✓18697 | ✗   25] ✓ tests/test_ollama_num_ctx.py (8✓, 6.2s)
[  0.0% |     0/0 | ✓18738 | ✗   25] ✓ tests/skills/test_openclaw_migration.py (41✓, 12.5s)
[  0.0% |     0/0 | ✓18754 | ✗   25] ✓ tests/test_batch_runner_checkpoint.py (16✓, 9.8s)
[  0.0% |     0/0 | ✓18760 | ✗   25] ✓ tests/tools/test_browser_camofox_state.py (6✓, 3.7s)
[  0.0% |     0/0 | ✓18770 | ✗   25] ✓ tests/tools/test_browser_chromium_check.py (10✓, 3.4s)
[  0.0% |     0/0 | ✓18787 | ✗   25] ✓ tests/test_lazy_session_regressions.py (17✓, 8.0s)
[  0.0% |     0/0 | ✓18823 | ✗   25] ✓ tests/test_bitwarden_secrets.py (36✓, 10.1s)
[  0.0% |     0/0 | ✓18823 | ✗   25] ✓ tests/tools/test_browser_supervisor.py (22s, 1.3s)
[  0.0% |     0/0 | ✓18857 | ✗   25] ✓ tests/test_live_system_guard_self_test.py (34✓, 7.9s)
[  0.0% |     0/0 | ✓18907 | ✗   25] ✓ tests/test_argo_logging.py (50✓, 11.2s)
[  0.0% |     0/0 | ✓18913 | ✗   25] ✓ tests/tools/test_browser_cleanup.py (6✓, 3.8s)
[  0.0% |     0/0 | ✓18931 | ✗   25] ✓ tests/tools/test_base_environment.py (18✓, 4.8s)
[  0.0% |     0/0 | ✓18936 | ✗   25] ✓ tests/test_get_tool_definitions_cache_isolation.py (5✓, 9.8s)
[  0.0% |     0/0 | ✓18964 | ✗   25] ✓ tests/test_minimax_oauth.py (28✓, 8.8s)
[  0.0% |     0/0 | ✓18970 | ✗   25] ✓ tests/test_transform_llm_output_hook.py (6✓, 7.0s)
[  0.0% |     0/0 | ✓18980 | ✗   25] ✓ tests/tools/test_browser_secret_exfil.py (10✓, 3.0s)
[  0.0% |     0/0 | ✓19007 | ✗   25] ✓ tests/test_toolsets.py (27✓, 7.2s)
[  0.0% |     0/0 | ✓19012 | ✗   25] ✓ tests/tools/test_browser_cloud_provider_cache.py (5✓, 4.6s)
[  0.0% |     0/0 | ✓19020 | ✗   25] ✓ tests/test_trajectory_compressor_async.py (8✓, 7.3s)
[  0.0% |     0/0 | ✓19051 | ✗   25] ✓ tests/test_cli_file_drop.py (31✓, 11.7s)
[  0.0% |     0/0 | ✓19082 | ✗   25] ✓ tests/test_trajectory_compressor.py (31✓, 7.4s)
[  0.0% |     0/0 | ✓19114 | ✗   25] ✓ tests/run_agent/test_primary_runtime_restore.py (32✓, 23.5s)
[  0.0% |     0/0 | ✓19121 | ✗   25] ✓ tests/tools/test_browser_content_none_guard.py (7✓, 4.8s)
[  0.0% |     0/0 | ✓19135 | ✗   25] ✓ tests/tools/test_browser_eval_supervisor_path.py (14✓, 4.9s)
[  0.0% |     0/0 | ✓19139 | ✗   25] ✓ tests/tools/test_browser_supervisor_healthcheck.py (4✓, 3.2s)
[  0.0% |     0/0 | ✓19171 | ✗   25] ✓ tests/test_yuanbao_integration.py (32✓, 7.3s)
[  0.0% |     0/0 | ✓19201 | ✗   25] ✓ tests/tools/test_ansi_strip.py (30✓, 7.0s)
[  0.0% |     0/0 | ✓19213 | ✗   25] ✓ tests/test_model_tools_async_bridge.py (12✓, 9.5s)
[  0.0% |     0/0 | ✓19237 | ✗   25] ✓ tests/test_ctx_halving_fix.py (24✓, 12.5s)
[  0.0% |     0/0 | ✓19260 | ✗   25] ✓ tests/tools/test_browser_camofox.py (23✓, 7.0s)
[  0.0% |     0/0 | ✓19276 | ✗   25] ✓ tests/test_sanitize_tool_error.py (16✓, 9.3s)
[  0.0% |     0/0 | ✓19300 | ✗   25] ✓ tests/test_model_tools.py (24✓, 10.2s)
[  0.0% |     0/0 | ✓19327 | ✗   25] ✓ tests/tools/test_browser_camofox_persistence.py (27✓, 7.5s)
[  0.0% |     0/0 | ✓19336 | ✗   25] ✓ tests/tools/test_accretion_caps.py (9✓, 8.2s)
[  0.0% |     0/0 | ✓19344 | ✗   25] ✓ tests/tools/test_credential_pool_env_fallback.py (8✓, 3.0s)
[  0.0% |     0/0 | ✓19384 | ✗   25] ✓ tests/test_yuanbao_proto.py (40✓, 8.5s)
[  0.0% |     0/0 | ✓19393 | ✗   25] ✓ tests/test_transform_tool_result_hook.py (9✓, 9.2s)
[  0.0% |     0/0 | ✓19411 | ✗   25] ✓ tests/tools/test_browser_orphan_reaper.py (18✓, 6.0s)
[  0.0% |     0/0 | ✓19460 | ✗   25] ✓ tests/test_yuanbao_markdown.py (49✓, 9.5s)
[  0.0% |     0/0 | ✓19465 | ✗   25] ✓ tests/tools/test_feishu_tools.py (5✓, 1.9s)
[  0.0% |     0/0 | ✓19472 | ✗   25] ✓ tests/tools/test_dockerfile_pid1_reaping.py (7✓, 2.1s)
[  0.0% |     0/0 | ✓19487 | ✗   25] ✓ tests/tools/test_clarify_gateway.py (15✓, 5.4s)
[  0.0% |     0/0 | ✓19495 | ✗   25] ✓ tests/tools/test_cron_prompt_injection.py (8✓, 3.4s)
[  0.0% |     0/0 | ✓19505 | ✗   25] ✓ tests/tools/test_config_null_guard.py (10✓, 4.4s)
[  0.0% |     0/0 | ✓19686 | ✗   25] ✓ tests/gateway/test_voice_command.py (181✓, 45.9s)
[  0.0% |     0/0 | ✓19687 | ✗   25] ✓ tests/tools/test_dockerfile_node_modules_perms.py (1✓, 2.7s)
[  0.0% |     0/0 | ✓19692 | ✗   25] ✓ tests/tools/test_delegate_toolset_scope.py (5✓, 3.1s)
[  0.0% |     0/0 | ✓19712 | ✗   25] ✓ tests/tools/test_budget_config.py (20✓, 6.0s)
[  0.0% |     0/0 | ✓19738 | ✗   25] ✓ tests/tools/test_code_execution_windows_env.py (26✓ 3s, 5.5s)
[  0.0% |     0/0 | ✓19799 | ✗   25] ✓ tests/run_agent/test_tool_arg_coercion.py (61✓, 21.2s)
[  0.0% |     0/0 | ✓19819 | ✗   25] ✓ tests/tools/test_browser_hybrid_routing.py (20✓, 7.3s)
[  0.0% |     0/0 | ✓19839 | ✗   25] ✓ tests/tools/test_clarify_tool.py (20✓, 6.6s)
[  0.0% |     0/0 | ✓19844 | ✗   25] ✓ tests/tools/test_delegate_composite_toolsets.py (5✓, 4.2s)
[  0.0% |     0/0 | ✓19873 | ✗   25] ✓ tests/tools/test_credential_files.py (29✓, 5.5s)
[  0.0% |     0/0 | ✓19897 | ✗   25] ✓ tests/tools/test_cron_approval_mode.py (24✓, 5.8s)
[  0.0% |     0/0 | ✓19910 | ✗   25] ✓ tests/tools/test_debug_helpers.py (13✓, 4.8s)
[  0.0% |     0/0 | ✓19938 | ✗   25] ✓ tests/test_plugin_skills.py (28✓, 13.4s)
[  0.0% |     0/0 | ✓19945 | ✗   25] ✓ tests/tools/test_browser_cdp_override.py (7✓, 10.5s)
[  0.0% |     0/0 | ✓19963 | ✗   25] ✓ tests/tools/test_command_guards.py (18✓, 7.0s)
[  0.0% |     0/0 | ✓20005 | ✗   25] ✓ tests/tools/test_browser_lightpanda.py (42✓, 9.1s)
[  0.0% |     0/0 | ✓20032 | ✗   25] ✓ tests/tools/test_browser_console.py (27✓, 10.5s)
[  0.0% |     0/0 | ✓20040 | ✗   25] ✓ tests/tools/test_browser_cloud_fallback.py (8✓, 10.8s)
[  0.0% |     0/0 | ✓20045 | ✗   25] ✓ tests/tools/test_file_ops_cwd_tracking.py (5✓, 4.4s)
[  0.0% |     0/0 | ✓20053 | ✗   25] ✓ tests/tools/test_force_dangerous_override.py (8✓, 3.2s)
[  0.0% |     0/0 | ✓20056 | ✗   25] ✓ tests/tools/test_image_generation_plugin_dispatch.py (3✓, 2.3s)
[  0.0% |     0/0 | ✓20069 | ✗   25] ✓ tests/tools/test_computer_use_capture_routing.py (13✓, 7.7s)
[  0.0% |     0/0 | ✓20097 | ✗   25] ✓ tests/tools/test_computer_use_vision_routing.py (28✓, 7.7s)
[  0.0% |     0/0 | ✓20106 | ✗   25] ✓ tests/tools/test_docker_find.py (9✓, 6.1s)
[  0.0% |     0/0 | ✓20110 | ✗   25] ✓ tests/tools/test_init_session_cwd_respect.py (4✓, 2.6s)
[  0.0% |     0/0 | ✓20116 | ✗   25] ✓ tests/tools/test_image_generation_env.py (6✓, 3.4s)
[  0.0% |     0/0 | ✓20120 | ✗   25] ✓ tests/tools/test_file_tools_container_config.py (4✓, 4.4s)
[  0.0% |     0/0 | ✓20135 | ✗   25] ✓ tests/tools/test_file_sync.py (15✓, 5.7s)
[  0.0% |     0/0 | ✓20146 | ✗   25] ✓ tests/tools/test_file_staleness.py (11✓, 6.1s)
[  0.0% |     0/0 | ✓20163 | ✗   25] ✓ tests/tools/test_env_passthrough.py (17✓, 7.3s)
[  0.0% |     0/0 | ✓20164 | ✗   25] ✓ tests/tools/test_file_sync_perf.py (1✓ 3s, 5.6s)
[  0.0% |     0/0 | ✓20175 | ✗   25] ✓ tests/tools/test_hidden_dir_filter.py (11✓, 5.1s)
[  0.0% |     0/0 | ✓20191 | ✗   25] ✓ tests/tools/test_file_write_safety.py (16✓, 5.4s)
[  0.0% |     0/0 | ✓20209 | ✗   25] ✓ tests/tools/test_file_sync_back.py (18✓, 6.5s)
[  0.0% |     0/0 | ✓20212 | ✗   25] ✓ tests/tools/test_kanban_codex_lane_skill.py (3✓, 4.4s)
[  0.0% |     0/0 | ✓20217 | ✗   25] ✓ tests/tools/test_heartbeat_stale_thresholds.py (5✓, 5.7s)
[  0.0% |     0/0 | ✓20229 | ✗   25] ✓ tests/tools/test_cross_profile_guard.py (12✓, 9.4s)
[  0.0% |     0/0 | ✓20248 | ✗   25] ✓ tests/tools/test_browser_cdp_tool.py (19✓, 14.6s)
[  0.0% |     0/0 | ✓20271 | ✗   25] ✓ tests/tools/test_docker_environment.py (23✓, 9.3s)
[  0.0% |     0/0 | ✓20276 | ✗   25] ✓ tests/tools/test_managed_media_gateways.py (5✓, 3.5s)
[  0.0% |     0/0 | ✓20278 | ✗   25] ✓ tests/tools/test_local_interrupt_cleanup.py (2✓, 4.1s)
[  0.0% |     0/0 | ✓20309 | ✗   25] ✓ tests/tools/test_file_tools.py (31✓, 7.4s)
[  0.0% |     0/0 | ✓20312 | ✗   25] ✓ tests/tools/test_local_tempdir.py (3✓, 4.0s)
[  0.0% |     0/0 | ✓20368 | ✗   25] ✓ tests/tools/test_cronjob_tools.py (56✓, 10.6s)
[  0.0% |     0/0 | ✓20388 | ✗   25] ✓ tests/test_timezone.py (20✓, 17.8s)
[  0.0% |     0/0 | ✓20393 | ✗   25] ✓ tests/tools/test_managed_tool_gateway.py (5✓, 3.7s)
[  0.0% |     0/0 | ✓20403 | ✗   25] ✓ tests/tools/test_local_env_windows_msys.py (10✓, 4.6s)
[  0.0% |     0/0 | ✓20438 | ✗   25] ✓ tests/tools/test_file_operations_edge_cases.py (35✓, 9.4s)
[  0.0% |     0/0 | ✓20447 | ✗   25] ✓ tests/tools/test_local_env_cwd_recovery.py (9✓, 4.9s)
[  0.0% |     0/0 | ✓20454 | ✗   25] ✓ tests/tools/test_delegate_subagent_timeout_diagnostic.py (7✓, 11.1s)
[  0.0% |     0/0 | ✓20456 | ✗   25] ✓ tests/tools/test_mcp_cancelled_error_propagation.py (2✓, 4.0s)
[  0.0% |     0/0 | ✓20463 | ✗   25] ✓ tests/tools/test_managed_modal_environment.py (7✓, 5.4s)
[  0.0% |     0/0 | ✓20466 | ✗   25] ✓ tests/tools/test_mcp_circuit_breaker.py (3✓, 4.7s)
[  0.0% |     0/0 | ✓20482 | ✗   25] ✓ tests/tools/test_file_state_registry.py (16✓, 10.2s)
[  0.0% |     0/0 | ✓20496 | ✗   25] ✓ tests/tools/test_local_shell_init.py (14✓, 5.9s)
[  0.0% |     0/0 | ✓20581 | ✗   25] ✓ tests/test_mcp_serve.py (85✓, 21.5s)
[  0.0% |     0/0 | ✓20620 | ✗   25] ✓ tests/tools/test_file_read_guards.py (39✓, 10.6s)
[  0.0% |     0/0 | ✓20630 | ✗   25] ✓ tests/tools/test_managed_browserbase_and_modal.py (10✓, 6.2s)
[  0.0% |     0/0 | ✓20670 | ✗   25] ✓ tests/tools/test_fuzzy_match.py (40✓, 9.4s)
[  0.0% |     0/0 | ✓20688 | ✗   25] ✓ tests/tools/test_local_env_blocklist.py (18✓, 6.8s)
[  0.0% |     0/0 | ✓20690 | ✗   25] ✓ tests/tools/test_mcp_oauth_bidirectional.py (2✓, 4.3s)
[  0.0% |     0/0 | ✓20716 | ✗   25] ✓ tests/tools/test_daytona_environment.py (26✓, 13.1s)
[  0.0% |     0/0 | ✓20722 | ✗   25] ✓ tests/tools/test_mcp_empty_error_message.py (6✓, 5.1s)
[  0.0% |     0/0 | ✓20727 | ✗   25] ✓ tests/tools/test_mcp_oauth_integration.py (5✓, 4.9s)
[  0.0% |     0/0 | ✓20730 | ✗   25] ✓ tests/tools/test_memory_tool_schema.py (3✓, 2.6s)
[  0.0% |     0/0 | ✓20734 | ✗   25] ✓ tests/tools/test_mcp_reconnect_signal.py (4✓, 4.3s)
[  0.0% |     0/0 | ✓20743 | ✗   25] ✓ tests/tools/test_mcp_image_content.py (9✓, 6.2s)
[  0.0% |     0/0 | ✓20744 | ✗   25] ✓ tests/tools/test_memory_tool_import_fallback.py (1✓, 3.5s)
[  0.0% |     0/0 | ✓20764 | ✗   25] ✓ tests/tools/test_browser_ssrf_local.py (20✓, 17.6s)
[  0.0% |     0/0 | ✓20858 | ✗   25] ✓ tests/test_yuanbao_pipeline.py (94✓, 21.1s)
[  0.0% |     0/0 | ✓20868 | ✗   25] ✓ tests/tools/test_mcp_dynamic_discovery.py (10✓, 6.9s)
[  0.0% |     0/0 | ✓20877 | ✗   25] ✓ tests/tools/test_mcp_oauth_cold_load_expiry.py (9✓, 5.9s)
[  0.0% |     0/0 | ✓20917 | ✗   25] ✓ tests/run_agent/test_streaming.py (40✓, 34.7s)
[  0.0% |     0/0 | ✓20945 | ✗   25] ✓ tests/tools/test_llm_content_none_guard.py (28✓, 9.8s)
[  0.0% |     0/0 | ✓20957 | ✗   25] ✓ tests/tools/test_line_ending_preservation.py (12✓, 9.9s)
[  0.0% |     0/0 | ✓20966 | ✗   25] ✓ tests/tools/test_mcp_oauth_metadata.py (9✓, 6.2s)
[  0.0% |     0/0 | ✓20975 | ✗   25] ✓ tests/tools/test_microsoft_graph_client.py (9✓, 3.8s)
[  0.0% |     0/0 | ✓20983 | ✗   25] ✓ tests/tools/test_mcp_probe.py (8✓, 6.3s)
[  0.0% |     0/0 | ✓20992 | ✗   25] ✓ tests/tools/test_modal_bulk_upload.py (9✓, 3.9s)
[  0.0% |     0/0 | ✓21002 | ✗   25] ✓ tests/tools/test_pr_6656_regressions.py (10✓, 3.2s)
[  0.0% |     0/0 | ✓21002 | ✗   25] ✓ tests/tools/test_send_message_tool.py (1s, 1.7s)
[  0.0% |     0/0 | ✓21008 | ✗   25] ✓ tests/tools/test_interrupt.py (6✓, 12.0s)
[  0.0% |     0/0 | ✓21015 | ✗   25] ✓ tests/tools/test_mcp_tool_401_handling.py (7✓, 5.9s)
[  0.0% |     0/0 | ✓21024 | ✗   25] ✓ tests/tools/test_microsoft_graph_auth.py (9✓, 5.0s)
[  0.0% |     0/0 | ✓21079 | ✗   25] ✓ tests/tools/test_image_generation.py (55✓, 12.6s)
[  0.0% |     0/0 | ✓21086 | ✗   25] ✓ tests/tools/test_mcp_oauth_manager.py (7✓, 7.5s)
[  0.0% |     0/0 | ✓21098 | ✗   25] ✓ tests/tools/test_parse_env_var.py (12✓, 3.8s)
[  0.0% |     0/0 | ✓21102 | ✗   25] ✓ tests/tools/test_mcp_sse_transport.py (4✓, 6.7s)
[  0.0% |     0/0 | ✓21106 | ✗   25] ✓ tests/tools/test_modal_snapshot_isolation.py (4✓, 4.3s)
[  0.0% |     0/0 | ✓21128 | ✗   25] ✓ tests/tools/test_browser_homebrew_paths.py (22✓, 20.3s)
[  0.0% |     0/0 | ✓21136 | ✗   25] ✓ tests/tools/test_mcp_utility_capability_gating.py (8✓, 6.6s)
[  0.0% |     0/0 | ✓21197 | ✗   25] ✓ tests/tools/test_lazy_deps.py (61✓, 12.5s)
[  0.0% |     0/0 | ✓21200 | ✗   25] ✓ tests/tools/test_mixture_of_agents_tool.py (3✓, 5.2s)
[  0.0% |     0/0 | ✓21208 | ✗   25] ✓ tests/tools/test_local_background_child_hang.py (8✓, 12.1s)
[  0.0% |     0/0 | ✓21213 | ✗   25] ✓ tests/tools/test_mcp_structured_content.py (5✓, 7.4s)
[  0.0% |     0/0 | ✓21215 | ✗   25] ✓ tests/tools/test_send_message_telegram_proxy.py (2✓, 3.1s)
[  0.0% |     0/0 | ✓21219 | ✗   25] ✓ tests/tools/test_mcp_tool_issue_948.py (4✓, 7.4s)
[  0.0% |     0/0 | ✓21224 | ✗   25] ✓ tests/tools/test_skill_provenance.py (5✓, 1.9s)
[  0.0% |     0/0 | ✓21230 | ✗   25] ✓ tests/tools/test_resolve_path.py (6✓, 4.0s)
[  0.0% |     0/0 | ✓21255 | ✗   25] ✓ tests/tools/test_patch_parser.py (25✓, 5.5s)
[  0.0% |     0/0 | ✓21273 | ✗   25] ✓ tests/tools/test_mcp_tool_session_expired.py (18✓, 7.7s)
[  0.0% |     0/0 | ✓21282 | ✗   25] ✓ tests/tools/test_search_hidden_dirs.py (9✓, 4.0s)
[  0.0% |     0/0 | ✓21291 | ✗   25] ✓ tests/tools/test_shared_container_task_id.py (9✓, 3.6s)
[  0.0% |     0/0 | ✓21296 | ✗   25] ✓ tests/tools/test_patch_failure_tracking.py (5✓, 6.0s)
[  0.0% |     0/0 | ✓21370 | ✗   25] ✓ tests/tools/test_computer_use.py (74✓, 20.2s)
[  0.0% |     0/0 | ✓21391 | ✗   25] ✓ tests/tools/test_mcp_invalid_url.py (21✓, 10.4s)
[  0.0% |     0/0 | ✓21411 | ✗   25] ✓ tests/tools/test_browser_hardening.py (20✓, 23.1s)
[  0.0% |     0/0 | ✓21436 | ✗   25] ✓ tests/tools/test_read_loop_detection.py (25✓, 5.2s)
[  0.0% |     0/0 | ✓21443 | ✗   25] ✓ tests/tools/test_singularity_preflight.py (7✓, 3.8s)
[  0.0% |     0/0 | ✓21448 | ✗   25] ✓ tests/tools/test_signal_media.py (5✓ 3s, 3.9s)
[  0.0% |     0/0 | ✓21453 | ✗   25] ✓ tests/tools/test_skill_view_path_check.py (5✓ 1s, 3.0s)
[  0.0% |     0/0 | ✓21467 | ✗   25] ✓ tests/tools/test_skill_size_limits.py (14✓, 3.6s)
[  0.0% |     0/0 | ✓21497 | ✗   25] ✓ tests/tools/test_notify_on_complete.py (30✓, 7.5s)
[  0.0% |     0/0 | ✓21506 | ✗   25] ✓ tests/tools/test_skill_improvements.py (9✓, 4.2s)
[  0.0% |     0/0 | ✓21512 | ✗   25] ✓ tests/tools/test_skill_view_traversal.py (6✓, 3.7s)
[  0.0% |     0/0 | ✓21516 | ✗   25] ✓ tests/tools/test_skill_env_passthrough.py (4✓, 4.7s)
[  0.0% |     0/0 | ✓21524 | ✗   25] ✓ tests/tools/test_symlink_prefix_confusion.py (8✓, 2.5s)
[  0.0% |     0/0 | ✓21601 | ✗   25] ✓ tests/tools/test_file_operations.py (77✓, 19.0s)
[  0.0% |     0/0 | ✓21620 | ✗   25] ✓ tests/tools/test_send_message_missing_platforms.py (19✓, 5.9s)
[  0.0% |     0/0 | ✓21631 | ✗   25] ✓ tests/tools/test_skills_ast_audit.py (11✓, 4.0s)
[  0.0% |     0/0 | ✓21640 | ✗   25] ✓ tests/tools/test_skills_hub_clawhub.py (9✓, 4.0s)
[  0.0% |     0/0 | ✓21647 | ✗   25] ✓ tests/tools/test_skills_hub_browse_sh.py (7✓, 4.2s)
[  0.0% |     0/0 | ✓21747 | ✗   25] ✓ tests/tools/test_hardline_blocklist.py (100✓, 18.0s)
[  0.0% |     0/0 | ✓21766 | ✗   25] ✓ tests/tools/test_modal_sandbox_fixes.py (19✓, 9.2s)
[  0.0% |     0/0 | ✓21782 | ✗   25] ✓ tests/tools/test_slash_confirm.py (16✓, 4.4s)
[  0.0% |     0/0 | ✓21784 | ✗   25] ✓ tests/tools/test_terminal_none_command_guard.py (2✓, 3.5s)
[  0.0% |     0/0 | ✓21808 | ✗   25] ✓ tests/tools/test_osv_check.py (24✓, 9.4s)
[  0.0% |     0/0 | ✓21885 | ✗   25] ✓ tests/tools/test_checkpoint_manager.py (77✓, 24.5s)
[  0.0% |     0/0 | ✓21887 | ✗   25] ✓ tests/tools/test_terminal_task_cwd.py (2✓, 3.5s)
[  0.0% |     0/0 | ✓21890 | ✗   25] ✓ tests/tools/test_terminal_tool_pty_fallback.py (3✓, 3.6s)
[  0.0% |     0/0 | ✓21997 | ✗   25] ✓ tests/tools/test_clipboard.py (107✓, 24.5s)
[  0.0% |     0/0 | ✓22011 | ✗   25] ✓ tests/tools/test_spotify_client.py (14✓, 5.4s)
[  0.0% |     0/0 | ✓22029 | ✗   25] ✓ tests/tools/test_sync_back_backends.py (18✓, 5.4s)
[  0.0% |     0/0 | ✓22069 | ✗   25] ✓ tests/tools/test_schema_sanitizer.py (40✓, 8.8s)
[  0.0% |     0/0 | ✓22078 | ✗   25] ✓ tests/tools/test_terminal_requirements.py (9✓, 5.0s)
[  0.0% |     0/0 | ✓22087 | ✗   25] ✓ tests/tools/test_terminal_output_transform_hook.py (9✓, 5.3s)
[  0.0% |     0/0 | ✓22101 | ✗   25] ✓ tests/tools/test_terminal_tool.py (14✓, 5.0s)
[  0.0% |     0/0 | ✓22113 | ✗   25] ✓ tests/tools/test_threaded_process_handle.py (12✓, 4.9s)
[  0.0% |     0/0 | ✓22134 | ✗   25] ✓ tests/tools/test_ssh_bulk_upload.py (21✓, 6.7s)
[  0.0% |     0/0 | ✓22146 | ✗   25] ✓ tests/tools/test_todo_tool.py (12✓, 4.5s)
[  0.0% |     0/0 | ✓22160 | ✗   25] ✓ tests/tools/test_ssh_environment.py (14✓ 11s, 6.7s)
[  0.0% |     0/0 | ✓22171 | ✗   25] ✓ tests/tools/test_terminal_foreground_timeout_cap.py (11✓, 6.0s)
[  0.0% |     0/0 | ✓22173 | ✗   25] ✓ tests/tools/test_tts_opus_routing.py (2✓, 2.3s)
[  0.0% |     0/0 | ✓22183 | ✗   25] ✓ tests/tools/test_transcription_dotenv_fallback.py (10✓, 4.1s)
[  0.0% |     0/0 | ✓22186 | ✗   25] ✓ tests/tools/test_terminal_tool_requirements.py (3✓, 5.5s)
[  0.0% |     0/0 | ✓22204 | ✗   25] ✓ tests/tools/test_tool_output_limits.py (18✓, 4.5s)
[  0.0% |     0/0 | ✓22242 | ✗   25] ✓ tests/tools/test_session_search.py (38✓, 9.9s)
[  0.0% |     0/0 | ✓22252 | ✗   25] ✓ tests/tools/test_tts_kittentts.py (10✓, 3.5s)
[  0.0% |     0/0 | ✓22341 | ✗   25] ✓ tests/run_agent/test_provider_parity.py (89✓, 47.9s)
[  0.0% |     0/0 | ✓22408 | ✗   25] ✓ tests/tools/test_mcp_oauth.py (67✓, 16.5s)
[  0.0% |     0/0 | ✓22413 | ✗   25] ✓ tests/tools/test_terminal_config_env_sync.py (5✓, 7.2s)
[  0.0% |     0/0 | ✓22507 | ✗   25] ✓ tests/plugins/test_kanban_dashboard_plugin.py (94✓, 62.4s)
[  0.0% |     0/0 | ✓22515 | ✗   25] ✓ tests/tools/test_tts_dotenv_fallback.py (8✓, 4.7s)
[  0.0% |     0/0 | ✓22583 | ✗   25] ✓ tests/run_agent/test_run_agent_codex_responses.py (68✓, 46.9s)
[  0.0% |     0/0 | ✓22614 | ✗   25] ✓ tests/tools/test_terminal_exit_semantics.py (31✓, 7.6s)
[  0.0% |     0/0 | ✓22682 | ✗   25] ✓ tests/tools/test_memory_tool.py (68✓, 15.2s)
[  0.0% |     0/0 | ✓22684 | ✗   25] ✓ tests/tools/test_terminal_timeout_output.py (2✓, 7.3s)
